STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,PAY_PERIOD,Pay period,PRICE_BASE,Price base,AGGREGATION_OPERATION,Aggregation operation,SEX,Sex,TIME_PERIOD,Time period,OBS_VALUE,Observation value,BASE_PER,Base period,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,AUT,Austria,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2013,,53956.456,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,AUT,Austria,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2014,,54161.086,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,AUT,Austria,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2015,,54555.718,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,AUT,Austria,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2016,,55078.269,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,AUT,Austria,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2017,,55085.308,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,AUT,Austria,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2018,,55293.594,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,AUT,Austria,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2019,,55750.457,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,AUT,Austria,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2020,,55904.792,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,AUT,Austria,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2021,,56768.519,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,AUT,Austria,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2022,,55460.013,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,AUT,Austria,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2023,,55327.696,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,AUT,Austria,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2024,,56968.032,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,BEL,Belgium,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,1990,,45040.938,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,BEL,Belgium,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,1991,,47019.526,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,BEL,Belgium,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,1992,,48527.249,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,BEL,Belgium,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,1993,,49547.217,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,BEL,Belgium,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,1994,,50508.512,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,BEL,Belgium,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,1995,,50336.66,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,BEL,Belgium,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,1996,,50967.705,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,BEL,Belgium,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,1997,,51617.604,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,BEL,Belgium,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,1998,,51648.562,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,BEL,Belgium,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,1999,,54527.388,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,BEL,Belgium,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2000,,54034.946,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,BEL,Belgium,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2001,,54199.625,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,BEL,Belgium,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2002,,55598.856,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,BEL,Belgium,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2003,,55930.28,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,BEL,Belgium,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2004,,55636.914,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,BEL,Belgium,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2005,,55108.75,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,BEL,Belgium,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2006,,55483.127,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,BEL,Belgium,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2007,,55380.189,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,BEL,Belgium,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2008,,55619.169,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,BEL,Belgium,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2009,,56393.539,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,BEL,Belgium,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2010,,56132.842,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,BEL,Belgium,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2011,,56706.677,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,BEL,Belgium,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2012,,57165.266,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,BEL,Belgium,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2013,,57731.564,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,BEL,Belgium,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2014,,58054.911,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,BEL,Belgium,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2015,,57660.203,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,BEL,Belgium,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2016,,57783.629,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,BEL,Belgium,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2017,,57379.248,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,BEL,Belgium,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2018,,57718.902,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,BEL,Belgium,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2019,,58287.214,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,BEL,Belgium,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2020,,56516.026,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,BEL,Belgium,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2021,,58301.251,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,BEL,Belgium,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2022,,57088.887,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,BEL,Belgium,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2023,,58743.527,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,BEL,Belgium,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2024,,59090.733,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,EST,Estonia,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,1995,,7721.199,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,EST,Estonia,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,1996,,8205.353,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,EST,Estonia,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,1997,,8963.243,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,EST,Estonia,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,1998,,9572.42,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,EST,Estonia,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,1999,,10003.776,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,EST,Estonia,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2000,,10802.781,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,EST,Estonia,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2001,,11178.584,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,EST,Estonia,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2002,,11838.505,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,EST,Estonia,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2003,,12976.039,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,EST,Estonia,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2004,,14003.38,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,EST,Estonia,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2005,,14936.573,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,EST,Estonia,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2006,,16307.711,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,EST,Estonia,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2007,,18955.456,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,EST,Estonia,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2008,,19203.751,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,EST,Estonia,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2009,,18740.153,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,EST,Estonia,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2010,,18533.475,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,EST,Estonia,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2011,,18104.872,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,EST,Estonia,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2012,,18378.738,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,EST,Estonia,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2013,,18829.871,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,EST,Estonia,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2014,,19867.518,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,EST,Estonia,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2015,,20797.082,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,EST,Estonia,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2016,,21859.063,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Average annual wages,I,EST,Estonia,WG,Wages,EUR,Euro,A,Annual,Q,Constant prices,MEAN,Mean,_Z,Not applicable,2017,,22343.059,,2024,,A,Normal value,0,Units,0,Zero
